name,address,lat,lng,maps_url,price_per_person_usd,price_tier,cuisine_primary,cuisine_tags,must_try_dishes,dietary_friendly,best_for,vibe,noise_level,dress_code,best_time_slots,avg_wait_minutes,reservation_needed,parking_difficulty,instagrammable_score,hidden_gem_score,value_score,crowd_typical_zh,crowd_typical_en,one_liner_zh,one_liner_en,avoid_if_zh,avoid_if_en,cuisine_tags_str,must_try_dishes_str,dietary_friendly_str,best_for_str,best_time_slots_str
Bottega Louie,"700 S Grand Ave, Los Angeles, CA 90017",34.0461,-118.2547,https://www.google.com/maps/place/Bottega+Louie,60,$$$,Italian,"['italian', 'bakery', 'downtown', 'brunch']","['Truffle Pizza', 'Portobello Fries', 'Lemon Ricotta Pancakes']",['vegetarian'],"['date', 'friends_group', 'tourist_must']",lively,moderate,smart_casual,"['brunch', 'lunch', 'dinner']",30,recommended,hard,8,4,7,时尚游客和当地年轻人,Fashionable tourists and local young professionals,洛杉矶市中心的意式美食与甜点天堂,Downtown LA's Italian cuisine and dessert paradise,不喜欢热闹环境,Avoid if you dislike lively environments,italian | bakery | downtown | brunch,Truffle Pizza | Portobello Fries | Lemon Ricotta Pancakes,vegetarian,date | friends_group | tourist_must,brunch | lunch | dinner
Bavel,"500 Mateo St, Los Angeles, CA 90013",34.0367,-118.2347,https://www.google.com/maps/place/Bavel,85,$$$,Middle Eastern,"['middle_eastern', 'california', 'modern', 'downtown']","['Lamb Neck Shawarma', ""Duck 'nduja Hummus"", 'Malawach']",['vegetarian'],"['date', 'celebration', 'friends_group']",trendy,moderate,smart_casual,['dinner'],30,recommended,hard,8,4,7,时尚美食爱好者和游客,Fashionable food lovers and tourists,DTLA 时尚中东餐厅，羊颈沙瓦玛必试,DTLA's chic Middle Eastern spot — try the Lamb Neck Shawarma,不喜欢中东风味,Avoid if you're not into Middle Eastern flavors,middle_eastern | california | modern | downtown,Lamb Neck Shawarma | Duck 'nduja Hummus | Malawach,vegetarian,date | celebration | friends_group,dinner
Sqirl,"720 N Virgil Ave, Los Angeles, CA 90029",34.0828,-118.2858,https://www.google.com/maps/place/Sqirl,25,$$,Café,"['café', 'brunch', 'organic', 'eastside']","['Ricotta Toast', 'Sorrel Pesto Rice Bowl', 'Jam on Brioche']","['vegetarian', 'vegan', 'gluten_free']","['brunch', 'friends_group', 'solo']",trendy,moderate,casual,"['breakfast', 'brunch', 'lunch']",30,no,moderate,8,6,7,东洛杉矶时尚年轻人,Trendy young East LA locals,时尚咖啡馆，招牌奶油吐司必尝,Trendy café with must-try ricotta toast,不喜欢排队或拥挤,Avoid if you dislike lines or crowds,café | brunch | organic | eastside,Ricotta Toast | Sorrel Pesto Rice Bowl | Jam on Brioche,vegetarian | vegan | gluten_free,brunch | friends_group | solo,breakfast | brunch | lunch
Fathers Office,"3229 Helms Ave, Los Angeles, CA 90034",34.0299,-118.3902,https://www.google.com/maps/place/Fathers+Office,35,$$,American,"['american', 'burger', 'craft_beer']","['Office Burger', 'Sweet Potato Fries', 'Duck Confit Salad']",[],"['friends_group', 'solo', 'tourist_must']",lively,moderate,casual,"['lunch', 'dinner', 'late_night']",30,no,moderate,7,5,8,年轻人和啤酒爱好者,Young crowd and craft beer enthusiasts,品尝传奇汉堡，享受精酿啤酒,Savor the legendary burger and enjoy craft beers,不喜欢热闹环境,Avoid if you dislike lively settings,american | burger | craft_beer,Office Burger | Sweet Potato Fries | Duck Confit Salad,,friends_group | solo | tourist_must,lunch | dinner | late_night
Pizzeria Mozza,"641 N Highland Ave, Los Angeles, CA 90036",34.0833,-118.3389,https://www.google.com/maps/place/Pizzeria+Mozza,45,$$,Italian,"['italian', 'pizza', 'casual', 'celebrity_chef']","['Fennel Sausage Pizza', 'Burrata with Speck', ""Nancy's Chopped Salad""]",['vegetarian'],"['date', 'friends_group', 'tourist_must']",trendy,moderate,casual,"['lunch', 'dinner']",30,recommended,moderate,8,4,7,喜爱名厨的美食爱好者,Food enthusiasts who appreciate celebrity chef creations,品尝名厨精心制作的意式披萨,Experience Italian pizzas crafted by a renowned chef,不喜欢排队等候,Avoid if you dislike waiting in line,italian | pizza | casual | celebrity_chef,Fennel Sausage Pizza | Burrata with Speck | Nancy's Chopped Salad,vegetarian,date | friends_group | tourist_must,lunch | dinner
Night Market Song,"3322 Sunset Blvd, Los Angeles, CA 90026",34.0908,-118.2814,https://www.google.com/maps/place/Night+Market+Song,35,$$,Thai,"['thai', 'street_food', 'spicy', 'silver_lake']","['Khao Soi', 'Moo Sadoong', 'Party Wings']",['vegetarian'],"['friends_group', 'date', 'tourist_must']",lively,loud,casual,"['dinner', 'late_night']",30,recommended,moderate,7,6,8,年轻潮人和美食爱好者,Young hipsters and food enthusiasts,体验正宗泰式街头美食，辣味十足,Experience authentic Thai street food with a spicy kick,不喜欢嘈杂环境,Avoid if you dislike noisy environments,thai | street_food | spicy | silver_lake,Khao Soi | Moo Sadoong | Party Wings,vegetarian,friends_group | date | tourist_must,dinner | late_night
Tacos 1986,"609 S Spring St, Los Angeles, CA 90014",34.0431,-118.2517,https://www.google.com/maps/place/Tacos+1986,15,$,Mexican,"['mexican', 'tacos', 'street_food', 'downtown']","['Adobada Taco', 'Mushroom Quesadilla', 'Carne Asada Taco']",['vegetarian'],"['friends_group', 'solo', 'tourist_must']",lively,moderate,casual,"['lunch', 'dinner', 'late_night']",10,no,hard,7,6,9,年轻人和游客的聚集地,A hotspot for young locals and tourists seeking authentic tacos.,DTLA 必吃的街头墨西哥美食，体验地道风味,DTLA's must-try Mexican street food for authentic flavors.,不喜欢排队或拥挤环境,Avoid if you dislike lines or crowded spaces.,mexican | tacos | street_food | downtown,Adobada Taco | Mushroom Quesadilla | Carne Asada Taco,vegetarian,friends_group | solo | tourist_must,lunch | dinner | late_night
Spago,"176 N Canon Dr, Beverly Hills, CA 90210",34.07,-118.4006,https://www.google.com/maps/place/Spago,150,$$$$,American,"['california', 'fine_dining', 'celebrity_chef']","['Smoked Salmon Pizza', 'Veal Chop', 'Kaiserschmarrn']","['vegetarian', 'gluten_free']","['celebration', 'date', 'business_lunch']",fine_dining,moderate,upscale,"['lunch', 'dinner']",0,essential,moderate,8,2,7,比佛利山庄名流与美食爱好者,Beverly Hills elites and gourmet enthusiasts,比佛利山庄名厨餐厅，奢华美食体验,Beverly Hills' celebrity chef restaurant offering a luxurious dining experience,预算有限或不喜正式着装,Avoid if on a budget or dislike dressing up,california | fine_dining | celebrity_chef,Smoked Salmon Pizza | Veal Chop | Kaiserschmarrn,vegetarian | gluten_free,celebration | date | business_lunch,lunch | dinner
Cassia,"1314 7th St, Santa Monica, CA 90401",34.0186,-118.4925,https://www.google.com/maps/place/Cassia,85,$$$,Fusion,"['fusion', 'asian', 'seafood', 'santa_monica']","[""Grilled Pig's Tail"", 'Laksa', 'Vietnamese Pot Au Feu']",['vegetarian'],"['date', 'celebration', 'friends_group']",trendy,moderate,smart_casual,['dinner'],30,recommended,moderate,8,5,7,圣塔莫尼卡时尚美食爱好者,Santa Monica's trendy food enthusiasts and locals,亚洲风味融合餐厅，必尝猪尾和叻沙,Fusion Asian flavors in Santa Monica — don't miss the pig's tail and laksa,不喜欢融合菜式,Avoid if you dislike fusion cuisine,fusion | asian | seafood | santa_monica,Grilled Pig's Tail | Laksa | Vietnamese Pot Au Feu,vegetarian,date | celebration | friends_group,dinner
Republique,"624 S La Brea Ave, Los Angeles, CA 90036",34.0628,-118.3441,https://www.google.com/maps/place/Republique,85,$$$,French,"['french', 'california', 'bakery', 'brunch']","['Mushroom Toast', 'Kimchi Fried Rice', 'Croque Madame']",['vegetarian'],"['date', 'celebration', 'tourist_must']",trendy,moderate,smart_casual,"['brunch', 'lunch', 'dinner']",30,recommended,moderate,8,4,8,时尚美食爱好者和游客,Trendy food enthusiasts and tourists,法式风情与加州风味的完美结合,A perfect blend of French flair and California flavors,不喜欢排队等位,Avoid if you dislike waiting in line,french | california | bakery | brunch,Mushroom Toast | Kimchi Fried Rice | Croque Madame,vegetarian,date | celebration | tourist_must,brunch | lunch | dinner
